original_url,final_url,method_used,status,ok,error
"https://www.c2cvariations.com.au/Healthdirect%20SA%20Finder","https://www.c2cvariations.com.au/Healthdirect%20SA%20Finder","GET","404","false",""
"https://www.c2cvariations.com.au/PlanSA%20Portal","https://www.c2cvariations.com.au/PlanSA%20Portal","GET","404","false",""
"https://www.c2cvariations.com.au/SA%20Health%20Alerts","https://www.c2cvariations.com.au/SA%20Health%20Alerts","GET","404","false",""
"https://plan.sa.gov.au/","https://plan.sa.gov.au/","GET","403","false",""
"https://www.c2cvariations.com.au/BOM%20Western%20Australia%20Warnings","https://www.c2cvariations.com.au/BOM%20Western%20Australia%20Warnings","GET","404","false",""
"https://www.lga.sa.gov.au/sa-councils/councils-listing","https://www.lga.sa.gov.au/sa-councils/councils-listing","GET","403","false",""
"https://www.c2cvariations.com.au/DFES%20Alerts","https://www.c2cvariations.com.au/DFES%20Alerts","GET","404","false",""
"https://www.bom.gov.au/wa/warnings/","https://www.bom.gov.au/wa/warnings/","HEAD","200","true",""
"https://www.sapowernetworks.com.au/outages/","https://www.sapowernetworks.com.au/outages/","HEAD","200","true",""
"https://www.c2cvariations.com.au/Main%20Roads%20Travel%20Map","https://www.c2cvariations.com.au/Main%20Roads%20Travel%20Map","GET","404","false",""
"https://www.c2cvariations.com.au/Western%20Power%20Outages","https://www.c2cvariations.com.au/Western%20Power%20Outages","GET","404","false",""
"https://www.c2cvariations.com.au/Transperth%20Service%20Updates","https://www.c2cvariations.com.au/Transperth%20Service%20Updates","GET","404","false",""
"https://www.dlgrma.qld.gov.au/local-government-directory","https://www.localgovernment.qld.gov.au/for-the-community/local-government-directory","HEAD","200","true",""
"https://www.c2cvariations.com.au/Water%20Corporation%20Alerts","https://www.c2cvariations.com.au/Water%20Corporation%20Alerts","GET","404","false",""
"https://www.c2cvariations.com.au/Healthdirect%20WA%20Finder","https://www.c2cvariations.com.au/Healthdirect%20WA%20Finder","GET","404","false",""
"https://www.c2cvariations.com.au/HealthyWA%20Alerts","https://www.c2cvariations.com.au/HealthyWA%20Alerts","GET","404","false",""
"https://www.healthdirect.gov.au/australian-health-services/results/sa","https://www.healthdirect.gov.au/australian-health-services/results/sa","GET","500","false",""
"https://www.c2cvariations.com.au/WA%20Local%20Government%20Directory","https://www.c2cvariations.com.au/WA%20Local%20Government%20Directory","GET","404","false",""
"https://www.westernpower.com.au/power-outages/","https://www.westernpower.com.au/power-outages/","GET","404","false",""
"https://www.transperth.wa.gov.au/Service-Updates","https://www.transperth.wa.gov.au/Service-Updates","HEAD","200","true",""
"https://www.sawater.com.au/outages","https://www.sawater.com.au/outages","GET","404","false",""
"https://www.c2cvariations.com.au/WA%20Planning%20Hub","https://www.c2cvariations.com.au/WA%20Planning%20Hub","GET","404","false",""
"https://www.c2cvariations.com.au/BOM%20Tasmania%20Warnings","https://www.c2cvariations.com.au/BOM%20Tasmania%20Warnings","GET","404","false",""
"https://www.watercorporation.com.au/Outages","https://www.watercorporation.com.au/Outages-and-works?utm_campaign=vanity-bau&utm_medium=paid+offline&utm_source=offline&utm_source_platform=manual","HEAD","200","true",""
